year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2014-01	632173	2174290	3.4393907996703432	165	34218362	54.12816112045279	2469	15.7377175997682
2014-02	528669	1940437	3.670419487429753	157	31023038	58.6814017844814	4176	15.987655358045636
2014-03	599321	2188396	3.65145890098962	331	35022498	58.43696116104725	2410	16.003729672326216
2014-04	602385	2227987	3.6986096931364494	170	35530677	58.983336238452154	2319	15.947434612499983
2014-05	592397	2148578	3.6269224861030693	155	34404700	58.07710032292533	2493	16.01277682262408
2014-06	588607	2083539	3.5397795133255294	141	33219972	56.438289045152366	2412	15.944012567079378
2014-07	716872	2405501	3.3555516186990144	170	37753463	52.6641618029439	2500	15.694636169346843
2014-08	670350	2229705	3.3261803535466545	163	34986217	52.19097038860297	2592	15.690962257338976
2014-09	610899	1996775	3.2685844959641446	143	31469169	51.51288347173592	1893	15.759997495962239
2014-10	648397	2109479	3.2533756325214336	142	33101812	51.051766124766154	2024	15.691937203451658
2014-11	650559	2165056	3.3279933103684676	159	33756675	51.88872185305253	2501	15.591594397558309
2014-12	569264	1997934	3.509679164675792	133	31818472	55.89405267151972	1861	15.925687234913665
