year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2011-01	319271	1031583	3.23105762815915	176	15753171	49.34106448753567	1754	15.270871078720763
2011-02	316870	1054888	3.329087638463723	153	16142622	50.94398964875185	1846	15.30268805787913
2011-03	392514	1317604	3.356833132066627	127	20228054	51.53460513510346	1845	15.35214981132419
2011-04	356424	1191282	3.3423170156891793	140	18280325	51.28814277377506	1829	15.345086218040732
2011-05	405826	1356327	3.3421392419411275	133	20966712	51.664289621660515	1810	15.458449179290835
2011-06	414737	1397669	3.370012803294618	131	21393753	51.58390256958024	1842	15.306737861396368
2011-07	459978	1567231	3.4071868654587827	144	24189834	52.589110783559214	1890	15.43475977695694
2011-08	466916	1591607	3.4087651740355867	192	24684028	52.86610011222575	2557	15.508871222607088
2011-09	445994	1576842	3.535567743063808	131	24609116	55.178132441243605	3082	15.606583284818644
2011-10	597965	2072208	3.4654335956117834	179	31962908	53.45280743856246	1839	15.424565487634446
2011-11	600299	2005397	3.340663569321288	216	30757763	51.23740502649513	3057	15.337493274399034
2011-12	653498	2181201	3.3377317145576573	144	33810735	51.73808489084894	2187	15.500971712373138
