year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2014-01	538161	2079529	3.8641391702483086	165	33826933	62.85652992320142	2469	16.266632011383347
2014-02	483918	1894987	3.9159258386751477	157	30856791	63.76450349026074	4176	16.283378725025553
2014-03	548116	2136143	3.897246203358413	331	34833827	63.551925139933886	2410	16.306879736047634
2014-04	551605	2176149	3.9451219622737286	170	35345260	64.07712040318707	2319	16.24211393613213
2014-05	541332	2096627	3.8730889731255496	155	34217117	63.20911566284646	2493	16.320078392580083
2014-06	538423	2032134	3.7742332701240473	141	33031306	61.34824478151936	2412	16.254492075817836
2014-07	607624	2294813	3.776699077060814	170	37278483	61.35123530341132	1928	16.244671352306266
2014-08	571690	2130051	3.7258846577690705	163	34573203	60.47543773723522	2592	16.23116207076732
2014-09	515124	1900144	3.6887118441384987	143	31060170	60.29649171849885	1893	16.34621902340033
2014-10	538378	1998626	3.7123099383704385	142	32627793	60.603874972602895	2024	16.325111851842216
2014-11	565940	2079522	3.674456656182634	159	33406101	59.02763720535746	1823	16.064317184429882
2014-12	518720	1946686	3.7528647439851945	133	31634576	60.98584207279457	1861	16.250476964441106
